Datos provenientes de SR865 
F,X,Y,R,T,
+2.180000e+05,+3.212905e-01,-4.667487e-01,+5.666409e-01,-5.545808e+01,
+2.190000e+05,+3.193309e-01,-4.659847e-01,+5.649018e-01,-5.557786e+01,
+2.200000e+05,+3.173800e-01,-4.652103e-01,+5.631614e-01,-5.569706e+01,
+2.210000e+05,+3.154544e-01,-4.644426e-01,+5.614432e-01,-5.581522e+01,
+2.220000e+05,+3.135766e-01,-4.637170e-01,+5.597889e-01,-5.593249e+01,
+2.230000e+05,+3.117087e-01,-4.629887e-01,+5.581405e-01,-5.604945e+01,
+2.240000e+05,+3.098069e-01,-4.621857e-01,+5.564134e-01,-5.616573e+01,
+2.250000e+05,+3.079445e-01,-4.614164e-01,+5.547386e-01,-5.628127e+01,
+2.260000e+05,+3.060734e-01,-4.606102e-01,+5.530305e-01,-5.639614e+01,
+2.270000e+05,+3.042313e-01,-4.598246e-01,+5.513577e-01,-5.651040e+01,
+2.280000e+05,+3.023972e-01,-4.590265e-01,+5.496811e-01,-5.662393e+01,
+2.290000e+05,+3.005747e-01,-4.582160e-01,+5.480028e-01,-5.673643e+01,
+2.300000e+05,+2.988465e-01,-4.575338e-01,+5.464854e-01,-5.684871e+01,
+2.310000e+05,+2.970580e-01,-4.567301e-01,+5.448356e-01,-5.695995e+01,
+2.320000e+05,+2.952673e-01,-4.558966e-01,+5.431615e-01,-5.707037e+01,
+2.330000e+05,+2.935275e-01,-4.551173e-01,+5.415627e-01,-5.718005e+01,
+2.340000e+05,+2.917665e-01,-4.542898e-01,+5.399138e-01,-5.728949e+01,
+2.350000e+05,+2.900610e-01,-4.535191e-01,+5.383447e-01,-5.739790e+01,
+2.360000e+05,+2.883509e-01,-4.527233e-01,+5.367538e-01,-5.750591e+01,
+2.370000e+05,+2.866894e-01,-4.519822e-01,+5.352371e-01,-5.761330e+01,
+2.380000e+05,+2.849941e-01,-4.511688e-01,+5.336431e-01,-5.772023e+01,
+2.390000e+05,+2.833268e-01,-4.503763e-01,+5.320835e-01,-5.782644e+01,
+2.400000e+05,+2.816487e-01,-4.495449e-01,+5.304871e-01,-5.793205e+01,
+2.410000e+05,+2.799996e-01,-4.487366e-01,+5.289275e-01,-5.803694e+01,
+2.420000e+05,+2.783592e-01,-4.479203e-01,+5.273675e-01,-5.814119e+01,
+2.430000e+05,+2.767180e-01,-4.470817e-01,+5.257898e-01,-5.824485e+01,
+2.440000e+05,+2.751088e-01,-4.462677e-01,+5.242515e-01,-5.834758e+01,
+2.450000e+05,+2.735433e-01,-4.455109e-01,+5.227867e-01,-5.845012e+01,
+2.460000e+05,+2.719520e-01,-4.446903e-01,+5.212556e-01,-5.855196e+01,
+2.470000e+05,+2.703591e-01,-4.438455e-01,+5.197046e-01,-5.865320e+01,
+2.480000e+05,+2.688179e-01,-4.430665e-01,+5.182384e-01,-5.875392e+01,
+2.490000e+05,+2.672710e-01,-4.422575e-01,+5.167451e-01,-5.885402e+01,
+2.500000e+05,+2.657360e-01,-4.414426e-01,+5.152545e-01,-5.895324e+01,
+2.510000e+05,+2.642069e-01,-4.406253e-01,+5.137665e-01,-5.905233e+01,
+2.520000e+05,+2.627278e-01,-4.398718e-01,+5.123603e-01,-5.915086e+01,
+2.530000e+05,+2.612320e-01,-4.390679e-01,+5.109039e-01,-5.924864e+01,
+2.540000e+05,+2.597206e-01,-4.382175e-01,+5.094010e-01,-5.934583e+01,
+2.550000e+05,+2.582252e-01,-4.373814e-01,+5.079200e-01,-5.944286e+01,
+2.560000e+05,+2.567770e-01,-4.365997e-01,+5.065113e-01,-5.953897e+01,
+2.570000e+05,+2.552865e-01,-4.357274e-01,+5.050045e-01,-5.963457e+01,
+2.580000e+05,+2.538608e-01,-4.349483e-01,+5.036123e-01,-5.972971e+01,
+2.590000e+05,+2.524169e-01,-4.341201e-01,+5.021698e-01,-5.982436e+01,
+2.600000e+05,+2.509917e-01,-4.333046e-01,+5.007491e-01,-5.991842e+01,
+2.610000e+05,+2.496418e-01,-4.326021e-01,+4.994653e-01,-6.001203e+01,
+2.620000e+05,+2.482044e-01,-4.317303e-01,+4.979924e-01,-6.010514e+01,
