Barrido en f -> f_inicial:10000, f_final:500000, step: 10
Parametros -> M:128,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

17755.681818,121725715.774353,4634.601593,7429.774826,0.002182
17795.138889,121728280.531769,7778.840790,7429.931381,0.003661
17812.500000,121725920.593842,9577.117065,7429.787345,0.004508
17857.142857,121729584.465759,13185.779480,7430.010998,0.006206
17903.645833,121730218.016296,17469.665741,7430.049701,0.008223
17922.794118,121728200.811981,19167.024384,7429.926592,0.009022
17939.814815,121729571.687988,30485.965912,7430.010407,0.014350
17968.750000,121730302.963745,22812.283600,7430.054939,0.010738
18002.717391,121728934.606750,25997.182190,7429.971458,0.012237
18028.846154,121728040.640289,27274.920258,7429.916910,0.012838
18066.406250,121730100.133392,29373.661926,7430.042645,0.013826
18092.105263,121727987.393463,31023.531799,7429.913715,0.014603
