Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
327999.968750,15577860.947746,-37930804.934426,0.312853,-68.342083
328999.968750,15528469.063720,-37840139.884892,0.312070,-68.357835
330000.000000,15426659.918557,-37799050.990722,0.311486,-68.468130
330999.937500,15370516.543950,-37701763.970010,0.310637,-68.489548
331999.968750,15247398.862033,-37654045.411826,0.309946,-68.624940
332999.968750,15227504.201873,-37605380.845994,0.309545,-68.625187
334000.000000,15130620.070981,-37545943.710856,0.308848,-68.743741
334999.937500,15066443.831414,-37483688.152880,0.308224,-68.795162
335999.937500,15015328.022059,-37453745.795168,0.307867,-68.846651
336999.968750,14944559.646997,-37404543.595364,0.307318,-68.914045
338000.000000,14867920.957717,-37354121.676533,0.306744,-68.988810
338999.937500,14788092.668432,-37104221.626059,0.304747,-68.962636
339999.937500,14700710.288747,-36812283.201699,0.302431,-68.923735
340999.968750,14654193.787007,-36785413.006390,0.302109,-68.971825
341999.968750,14570353.584402,-36783986.014957,0.301863,-69.083857
343000.000000,14531210.752412,-36749173.598071,0.301506,-69.118034
343999.937500,14433288.004301,-36708035.836559,0.300940,-69.228341
344999.968750,14378862.214440,-36461033.477371,0.299035,-69.194922
345999.968750,14336961.699459,-36504159.323243,0.299224,-69.274984
347000.000000,14279194.638829,-36489496.070499,0.298959,-69.345770
347999.937500,14199856.994565,-36249380.966304,0.297032,-69.325726
348999.937500,14123724.731734,-36254297.742639,0.296856,-69.432758
349999.968750,14094650.510941,-36273381.885120,0.296911,-69.482845
350999.968750,13980382.395833,-36044708.350877,0.294969,-69.517951
352000.000000,13927655.229923,-36048686.047305,0.294852,-69.592969
352999.937500,13880572.686880,-35813718.050717,0.293050,-69.532161
353999.968750,13779426.617257,-35856757.625000,0.293079,-69.696036
354999.968750,13741585.445061,-35871628.779134,0.293081,-69.756680
356000.000000,13710194.394883,-35683624.244716,0.291656,-69.699811
356999.937500,13633541.535714,-35756342.888393,0.291966,-69.845998
357999.937500,13548998.737136,-35498988.004474,0.289901,-69.853352
358999.968750,13535416.282511,-35332743.043722,0.288679,-69.782798
360000.000000,13450105.662542,-35359822.200225,0.288640,-69.918126
360999.937500,13426116.891648,-35404373.483070,0.288893,-69.976022
361999.937500,13353455.009050,-35212068.363122,0.287325,-69.975646
362999.968750,13294230.162316,-35337588.081725,0.288061,-70.127230
363999.968750,13214945.256818,-34860495.750000,0.284442,-69.983094
365000.000000,13158431.242873,-34927717.134550,0.284769,-70.100796
365999.937500,13117929.757437,-35014287.988558,0.285279,-70.205645
366999.968750,13049632.291284,-34812517.706422,0.283654,-70.195117
367999.968750,13028779.811277,-34932087.654776,0.284453,-70.289625
