Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
220999.937500,28172883.408840,-49232744.312155,0.432780,-60.221914
221999.953125,27984836.463567,-49170175.403886,0.431655,-60.355737
222999.968750,27781929.935192,-48981422.409756,0.429638,-60.440170
223999.984375,27633752.503501,-48949944.409664,0.428872,-60.555719
224999.937500,27429789.159522,-48631434.415320,0.425991,-60.577304
225999.953125,27268036.752825,-48635600.532486,0.425414,-60.724184
226999.968750,27118943.189496,-48642076.869411,0.424902,-60.861243
227999.984375,26915256.986467,-48326228.383903,0.422040,-60.886208
228999.921875,26762850.291339,-48344526.830351,0.421598,-61.033503
229999.937500,26566417.859195,-48045398.587644,0.418875,-61.061662
230999.968750,26410046.180505,-48064619.220217,0.418428,-61.214349
231999.984375,26252816.802030,-47949606.989848,0.417081,-61.300729
233000.000000,26062189.015284,-47676445.102620,0.414555,-61.338716
